,id,name,price,info,url,reviews
10,11,Olivado Organic Fairtrade Avocado Oil 250ml,£8.99,"""Olivado's Organic and Fair Trade cold pressed extra virgin avocado oil, straight from Olivado's newest production facility in Nairobi, Kenya. IMO and USDA Certified Organic. Olivado Extra Virgin Avocado Oil is quite simply, the juice of the first, cold pressing of New Zealand's finest quality ripe Avocados. It is pressed at temperatures below 50 degrees celsius and contains an acid content of 0.2%, far below the 1% required for the extra virgin designation. In addition, no heat or solvents are ever used to extract the oil from the fruit. Due to its high chlorophyll content, avocado oil is very unstable and can degrade very quickly, so after extraction Olivado subjects the oil to a unique and natural process that completely stabilises it, retaining the goodness for up to 2 years in an unopened bottle. The oil has the rich, buttery, delicate taste profile of ripe avocados. In turning the avocado into oil, Olivado has maintained all the health properties of this most nutritious wonder fruit, in a delicious, versatile, shelf stable oil that can be used as an alternative to olive oil in any recipe. Unlike some strong olive oils, Olivado Extra Virgin Avocado oil is never bitter, will not burn at moderate temperatures and won't overpower your recipes. It has excellent health benefits, including monounsaturated fat (the good fat), has no cholesterol, no carbohydrates, and can be used as an essential component of the new Mediterranean Diet. Contains the oil of 20 avocados, kosher, no trans fats, all natural, high in mono-unsaturates, nutrients and antioxidants. """,https://www.planetorganic.com/products/olivado-organic-fairtrade-avocado-oil-250ml,
11,12,Clearspring Tamari Roasted Cashew Nuts 30g,£2.29,"""Enjoy the naturally delicious flavour of the highest quality, organically grown cashew nuts with Clearspring's very own organic Tamari Sauce. Roasted to perfection in small batches by craft producers.""",https://www.planetorganic.com/products/clearspring-tamari-roasted-cashew-nuts-30g,
12,13,Rhythm 108 Double Chocolate Hazelnut Biscuit Share Bag 135g,£3.79,"""Gluten free, vegan Ooh-la-la Tea Biscuit range let's you enjoy more often withouth the guilt! Hand crafted with carefully selected organic ingredients by our team of trained patissiers the Double Chocolate Tea Biscuit has extra vegan chocolate chips to do""",https://www.planetorganic.com/products/rhythm108-ooh-la-la-tea-biscuits-sharebag-double-choco-hazelnut-135g,
13,14,Planet Organic Pumpkin Seeds 500g,£5.99,,https://www.planetorganic.com/products/planet-organic-pumpkin-seeds-500g,
14,15,Keto8 Rosemary Cracker Snacks 35g,£3.29,"""Nutrient-dense superfood crackers hand-made and dehydrated at below 45 degrees to preserve essential goodness and enzymes. Adding linseed into your diet has potential health benefits including improving cardiovascular and lung health, lowering cholesterol, blood pressure, and improving hair, nail and skin quality. Enjoy as a replacement to wheat-based bread and crackers. Top with avocado, hummus, tomatoes and cucumber for a delicious, satisfying and super-healthy snack""",https://www.planetorganic.com/products/cru8-raw-rosemary-crackers-80g,
15,16,Planet Organic Sunflower Seeds 500g,£2.99,,https://www.planetorganic.com/products/planet-organic-sunflower-seeds-500g,
16,17,Biona Coconut Milk 400ml,£2.29,Organic Coconut Milk from pressed Coconut kernel. Perfect for Thai style curries and other exotic dishes.,https://www.planetorganic.com/products/biona-coconut-milk-400ml,
17,18,Keto Hana Keto Friendly Granola - Coconut & Almond 300g,£7.79,"""Keto breakfast, sorted. The first truly keto granola is high in good fats and has absolutley no added sugar. Sprinkle on natural yoghurt, add a couple of berries and contemplate the day ahead. """,https://www.planetorganic.com/products/keto-hana-keto-friendly-granola-coconut-almond-300g,
18,19,Keto Hana Keto Friendly Granola - Cocoa 300g,£7.79,"""Keto breakfast, sorted. The first truly keto granola is high in good fats and has absolutely no added sugar. Sprinkle on natural yoghurt, add a couple of berries and contemplate the day ahead. """,https://www.planetorganic.com/products/keto-hana-keto-friendly-granola-cocoa-300g,
19,20,Plenish 6% Almond Milk 1L,£2.89,"""Deliciously plenishing almond m*lk has no additives, preservatives or sweeteners, and is bursting with organic goodness from the plant kingdom. In fact, with a high nut content, its chock full of nutrients. It’s a natural source of Vitamin E, a powerful antioxidant (that means it protects your precious cells from oxidative stress) and protein, to maintain healthy muscles and bones. A 250ml glass is a natural source of copper helping your immune system operate normally. When you replace saturated fats for heart-healthy monounsaturated fats found in this almond m*lk, you can reduce blood cholesterol levels - so make the switch!""",https://www.planetorganic.com/products/plenish-6-almond-milk-1l,
20,21,Rhythm 108 Almond Biscotti Biscuit Share Bag 135g,£3.79,"""Gluten free, vegan Ooh-la-la Tea Biscuit range let's you enjoy more often withouth the guilt! Hand crafted with carefully selected organic ingredients by our team of trained patissiers, Almond and Biscotti Tea Biscuit is full of chunky bits of roasted alm""",https://www.planetorganic.com/products/rhythm108-ooh-la-la-tea-biscuits-sharebag-almond-biscotti-135g,
21,22,Rude Health Almond Drink 1L,£2.89,"Enjoy a dairy-free and unsweetened alternative plant milk by Rude Health. The Almond Drink 1L is one of the most popular alternative milk options, offering a perfectly creamy and silky cold drink that can be added to your favourite cereal, enjoyed as part of a steaming mug of coffee or on its own! Rude Health brings together a blend of organic ingredients, including crushed almonds, rice, pure mountain spring water and a sprinkle of cold-pressed sunflower oil to create a delicious, creamy almond milk that makes a perfect substitution for any regular milk. This tasty almond drink is naturally sweet without the need for adding alternative sweeteners such as syrups or sugar, making it as healthy for your body as it is tasty for your mouth!",https://www.planetorganic.com/products/rude-health-almond-drink-1l,
22,23,Keto8 Chee*y Kale Crisps 30g,£3.59,"""Deliciously chee*y-tasting but completely dairy-free, these kale chips are a delicious, nutrient-packed, savoury snack perfect for when you're craving something that feels carby but isn't. Dip in guacamole, enjoy as an accompaniment to soups and salads or""",https://www.planetorganic.com/products/cru8-chee-y-kale-crisps-30g,
23,24,Planet Organic Hemp Seeds Hulled 250g,£4.99,Hemp seeds are notable as a high-protein food source and contain complete amino acids.,https://www.planetorganic.com/products/planet-organic-hemp-seeds-hulled-250g,
24,25,Planet Organic Chickpeas 500g,£2.79,,https://www.planetorganic.com/products/planet-organic-chickpeas-500g,
25,26,Planet Organic Red Split Lentils 500g,£2.99,,https://www.planetorganic.com/products/planet-organic-red-split-lentils-500g,
26,27,Planet Organic Quinoa 1kg,£6.59,,https://www.planetorganic.com/products/planet-organic-quinoa-1kg,
27,28,Biona Black Beans 400g,£1.39,"""*no BPA used in can* Boasting a mellow flavour and plenty of protein, with no added sugar or salt, these organic black beans are a whole and hearty pulse that boosts your cooking. The beans have a firm and satisfying texture paired with a subtle nuttiness: layer them into vegetarian lasagnes, spoon into spicy chillis or scatter over green salad bowls and rice sides for added flavour and bite. Rich in iron, magnesium and fibre, the protein in our black beans makes them ideal for vegan dishes.""",https://www.planetorganic.com/products/biona-black-beans-400g,
28,29,Planet Organic Almonds Whole 500g,£9.99,,https://www.planetorganic.com/products/planet-organic-almonds-whole-500g,
29,30,Mister Free'd Tortilla Chips with Kale and Spinach 135g,£2.99,Pure Green Goodness. Kale and spinach combine with a traditional corn base to provide a beautiful green chip with awesome vegetable goodness,https://www.planetorganic.com/products/mister-freed-tortilla-chips-with-kale-and-spinach-135g,
30,31,Rhythm 108 Coconut Crunch Biscuit Share Bag 135g,£3.79,"""Our gluten free, vegan Ooh-la-la Tea Biscuit range let's you enjoy more often withouth the guilt! Hand crafted with carefully selected organic ingredients by our team of trained patissiers our Coconut Cookie Tea Biscuit is full of crunchy coconut flakes """,https://www.planetorganic.com/products/rhythm108-ooh-la-la-tea-biscuits-sharebag-coconut-cookie-135g,
31,32,FattBar Caramel & Sea Salt Bar 30g,£2.29,"""A deliciously chewy bar with a rich, buttery taste and a hint of sea salt. Crammed with heart healthy nuts for sustainable energy and sweet chicory extract for a boost of gut friendly prebiotic fibre. No added sugar and sweetener free.""",https://www.planetorganic.com/products/fattbar-caramel-sea-salt-bar-30g,
32,33,Oatly Oat Drink 1L,£2.49,"""Oatly Healthy Oat Organic is made of the purest oats. It contains only vegetable products - no milk or soya. And what's more, the ingredients are cultivated ecologically and KRAV-approved.
 
 Oatly Healthy Oat Organic has a soft, smooth oat flavour and yo""",https://www.planetorganic.com/products/oatly-oat-drink-1l,
33,34,Pulsin Chocolate Fudge & Peanut Keto Bar 50g,£2.29,"""The Pulsin Choc Fudge & Peanut Keto Bar is the ideal snack for people following a Keto Diet. It contains MCT - a Ketone boosting source of fat. The bar has only 4g net of carbs per bar, it is high in plant based protein and is Vegan, gluten and dairy free. In addition this indulgent bar tastes delicious and being packed with peanuts has extra crunch""",https://www.planetorganic.com/products/pulsin-chocolate-fudge-peanut-keto-bar-50g,
34,35,Keto8 Carrot & Sesame Cracker Snacks 35g,£3.29,"""Crunchy and full of flavour with a spicy kick, these Raw Carrot & Sesame Crackers are perfect for an on-the-go healthy snack, great with salad or soup or as a cracker for dips and chee*e. Completely gluten and grain-free and raw, these delicious, nutrient-packed, low carb, savoury crackers are ideal for when you're craving something carb-y. These crackers are sesame and golden linseed-based, and are therefore chock full of essential nutrients, like Vitamin E and Omegas. High in fibre, they are gut health promoting too. You couldn't get a healthier cracker! """,https://www.planetorganic.com/products/cru8-carrot-sesame-crackers-80g,
35,36,Keto8 Raw Almond Morsels 120g,£7.19,"Uniquely grain, gluten, yeast and dairy free.
 Nutrient-dense and nourishing Keto and Paleo-friendly macaroons that are low net carb and low sugar, making them the perfect addition to a low carb Keto lifestyle.",https://www.planetorganic.com/products/cru8-keto-almond-macaroons-120g,
36,37,Rude Health Ultimate Almond Drink 1L,£3.99,"Rude Health has brought Almond drinks to the next level with their ultimate almond drink. Enjoy a blend of roasted, organic Italian almonds and spring water - and nothing else! Just a pure, completely almond-based milk alternative that serves up nothing but that rich, nutty taste that is loved by many plant-milk enthusiasts. The Ultimate Almond drink by Rude Health really is ultimate. Its blend of organically sourced, healthy ingredients combine to make the perfect creamy, rich and nutty almond drink that is adored and loved by many. Sit back and devour a guilt-free dairy alternative with Rude Healths Almond drink that is dairy-free, sugar-free and grain–free and a perfectly tasty addition to any hot beverage, dairy supplement or on its own for a health boost!",https://www.planetorganic.com/products/rude-health-ultimate-almond-drink-1l,
37,38,Better Than Pasta Tagliatelle 385g,£3.29,"""Better Than Noodles Thai Style is made from Organic Konjac flour. It is a gluten and dairy free alternative to regular flat noodles. It contains only 9 calories and 0g of carbohydrates (per 100g serving). It is made from Juroat, a special blend of Organic Konjac flour and Organic oat fibre. Better Than Noodles looks a lot like traditional flat noodles compared to other traditional Konjac flat noodle shapes. Suitable for Organic diets, Coeliacs, Diabetics, Vegans and Vegetarians. Each pack serves 2-3. 385g (300g drained weight)""",https://www.planetorganic.com/products/better-than-pasta-tagliatelle-385g,
38,39,Fiorentini Buckwheat Cakes 100g,£2.79,"""Organic 99% buckwheat puffed cakes, ideal with spreads or simply on its own as a snack.""",https://www.planetorganic.com/products/fiorentini-buckwheat-cakes-100g,
39,40,Mister Free'd Tortilla Chips with Blue Corn 135g,£2.99,"""Blue corn is the best corn. Not only does it have a sweeter flavour and packs more goodness per bite, it also looks awesome and will surely impress your guests!""",https://www.planetorganic.com/products/mister-freed-tortilla-chips-with-blue-corn-135g,
40,41,Planet Organic Brazils Whole 500g,£8.49,,https://www.planetorganic.com/products/planet-organic-brazils-whole-500g,
41,42,Profusion Chickpea Fusilli 250g,£3.29,"""Organic Grain Free, Gluten Free, Vegan Chick Pea Fusilli. High in Protein. Good source of Fibre""",https://www.planetorganic.com/products/profusion-chickpea-fusilli-300g,
42,43,Planet Organic Unhulled Sesame Seeds 250g,£1.99,,https://www.planetorganic.com/products/planet-organic-unhulled-sesame-seeds-250g,
43,44,Planet Organic Cashews Whole 500g,£9.99,"""The true fruit of the cashew tree is a kidney or boxing-glove shaped drupe that grows at the end of the cashew apple. The drupe develops first on the tree, and then the pedicel expands to become the cashew apple. Within the true fruit is a single seed, wh""",https://www.planetorganic.com/products/planet-organic-cashews-whole-500g,
44,45,Biona Chickpeas 350g,£1.99,Biona beans in jars offer an alternative to canned beans. Ready to use straight from the jar without any further cooking or soaking.,https://www.planetorganic.com/products/biona-chickpeas-350g,
45,46,Biona Sauerkraut 680g,£2.71,Biona sauerkraut is made using finely shredded organic cabbage that has been fermented by lactic acid bacteria - giving it that distinctive sour flavour.,https://www.planetorganic.com/products/biona-sauerkraut-680g,
46,47,Biona Kimchi 350g,£3.99,"""Biona Organic Kimchi is made with fresh naturally fermented organic vegetables. Warm and spicy with a deep tangy flavour, Biona Kimchi is perfect as a side dish, in salads or for an added kick in stir-fries, noodles and rice.""",https://www.planetorganic.com/products/biona-kimchi-350g,
47,48,Profusion Red Lentil Fusilli 250g,£3.39,"""Organic Grain Free, Gluten Free, Vegan Red Lentil Fusilli. High in Protein. Good source of Fibre""",https://www.planetorganic.com/products/profusion-red-lentil-fusilli-300g,
48,49,Keto8 Raw Chocolate Chip Morsels 128g,£7.19,"Rich, chewy, yet low carb and Keto-friendly these almond-based morsels are the perfect treat for your low carb or Keto lifestyle. Nutty almonds deliciously blended with a hint of vanilla, sea salt and hunks of dark chocolate, these are honestly the bomb - the fat bomb. Keto8 Chocolate Chip Morsels are satisfyingly dense, providing the right energy to power you through your day. 
 Keto8 Morsels are the perfect low carb, Keto treat, rich in antioxidants, plus brain-boosting MCT, and the added benefit of all-important fibre. High in prebiotic fibre, they are gut health friendly to boot. 
 They are a great snack for travel, at-your-desk or on-the-go. A moreish and satisfying treat without the guilt.",https://www.planetorganic.com/products/cru8-keto-choc-chip-cookies-128g,
49,50,Planet Organic Unsulphured Apricots 500g,£8.79,,https://www.planetorganic.com/products/planet-organic-unsulphured-apricots-500g,
50,51,Hu Hazelnut Butter Dark Chocolate Bar 60g,£3.79,"Don't worry, vegans and dairy-free people, you can enjoy HU’s delicious hazelnut chocolate bars like everyone else, thanks to their vegan hazelnut dark chocolate bar - free from dairy and suitable for vegans. This bar is made with all of nature's goodness and is not only dairy-free but also gluten-free, free from preservatives or other additives and is made with fairtrade ingredients. This hazelnut dark chocolate bar by HU is a delightful blend of rich dark chocolate and nutty hazelnuts, creating a hazelnut spread flavour that is sure to invoke childhood memories of hazelnut chocolate spread! Enjoy guilt-free and divine dark chocolate in every bite that will always leave you longing for one more piece.",https://www.planetorganic.com/products/hu-hazelnut-butter-dark-chocolate-bar-60g,
51,52,Purely Plantain Chips Wild Garlic 75g,£1.99,"""Thick cut, smooth-textured,full flavoured selected plantains sprinkled with wild garlic. Vegan and gluten free alternative to the traditional potato crisps. """,https://www.planetorganic.com/products/purely-plantain-chips-wild-garlic-75g,
52,53,Planet Organic Coconut Dessicated 250g,£2.39,,https://www.planetorganic.com/products/planet-organic-coconut-dessicated-250g,
53,54,Biona Chickpeas 400g,£1.49,"""*no BPA used in can* A pantry essential and a great source of vegan protein, the buttery organic chickpeas are satisfyingly filling and deliciously moreish. Give homemade houmous a velvety texture, or let their creamy taste round off spicy dahls and wholesome stews. You can even spoon them through rice, couscous and salads to add nuttiness and a firm bite. These organic chick peas are made with no added sugar or salt, and are an excellent source of protein, making them well-suited to a vegan diet.""",https://www.planetorganic.com/products/biona-chick-peas-400g,
54,55,Seggiano Red Lentil Fusilli 250g,£4.99,"""Life's too short for eating legume pasta with a dull flavour and stodgy consistency. the Seggiano found that only pasta crafted in the artisan tradition of bronze forming and slow drying at low temperature delivers the flavour and consistency worthy of a gourmet gluten free meal for all the family. This Seggiano gluten free organic pasta is made with 100% legume flour. Red lentil pasta is high in protein and fibre, with a good consistency and delicious flavour. It can be enjoyed simply with just a drizzle of excellent extra virgin olive oil. Produced by a family business, using innovative combinations of corn, rice, buckwheat, legumes, quinoa & teff, our certified gluten free pasta range offers interesting nutritional variety and digestibility with delicious flavour. """,https://www.planetorganic.com/products/seggiano-red-lentil-fusilli-250g,
55,56,Other Foods Crunchy Shiitake Mushroom Chips 40g,£2.09,"""Vegan Paleo friendly, 80% less fat than potato chips, High in Fibre, Low in salt, under 100 Kcal per serving, 100% Natural ingredients, 1 of your 5 a day.""",https://www.planetorganic.com/products/other-foods-crunchy-shiitake-mushroom-chips-40g,
56,57,Mister Free'd Tortilla Chips with Chia Seeds 135g,£2.99,A multiseed tortilla chip has crunchier feel. Perfect with some homemade guacamole!,https://www.planetorganic.com/products/mister-freed-tortilla-chips-with-chia-seeds-135g,
57,58,Hu Almond Butter and Crispy Quinoa Dark Chocolate Bar 60g,£3.79,"HU focuses on designing delicious chocolate that does not come at a cost to your health, the animals or the environment. The Almond Butter and Crispy Quinoa dark chocolate bar is 70% dark chocolate, layered over bites of crispy quinoa and smooth almond butter, giving this chocolate bar a uniquely crunchy, nutty and chocolate taste and flavour depth that is out of this world. HU prides itself on creating ethical chocolate bars that are deliciously tasty. All of the ingredients are organic and fairtrade, have zero additives like preservatives, and many are vegan friendly. Not only that, but HU make complex bars that do more than taste delicious - they give your body the nutrients it deserves. The almond butter and quinoa bar is a delightful bar full of protein and iron hidden in the depths of its chocolatey-ness. Grab your bar today and discover health!",https://www.planetorganic.com/products/hu-almond-butter-and-crispy-quinoa-dark-chocolate-bar-60g,
58,59,Planet Organic Quinoa Grain 500g,£3.59,,https://www.planetorganic.com/products/planet-organic-quinoa-grain-500g,
59,60,Planet Organic Millet Grain 500g,£2.39,,https://www.planetorganic.com/products/planet-organic-millet-grain-500g,
60,61,Biona Coconut Milk 4 pack 4x400ml,£8.19,"""Biona Organic Coconut Milk is a firm family favourite, and is now available in a handy 4 pack! Our classic coconut milk is free from emulsifiers and made from the finest coconuts, which are strictly harvested without the use of monkeys. Use it as a natural dairy alternative, or to add richness to curries and in baking. """,https://www.planetorganic.com/products/biona-coconut-milk-4-pack-4x400ml,
61,62,Planet Organic Coconut Chips Raw 250g,£2.99,,https://www.planetorganic.com/products/planet-organic-coconut-chips-raw-250g,
62,63,Explore Cuisine Green Lentil Penne 250g,£3.39,"""Firm and flavorful, our Green Lentil Penne has a delightful taste and tender texture. Easily prepared, it provides exceptional savour and color to your everyday meal.""",https://www.planetorganic.com/products/explore-cuisine-green-lentil-penne-250g,
63,64,Better Than Spaghetti 385g,£3.29,"""These are free from carbs, sugar, fat, wheat and gluten. Konjac spaghetti are hign in fibre, Low GI hence suitable for diabetic diets. Pasta are also suitable for Vegans and Vegetarians.""",https://www.planetorganic.com/products/better-than-spaghetti-385g,
64,65,Pulsin Orange Chocolate and Peanut Keto Bar 50g,£1.94,"""Pulsin's delicious Orange Choc & Peanut Keto Bar contains 13 grams of plant based protein and is packed full of crunchy peanuts and no added sugar chocolate chips. It also contains MCT, a ketone boosting fat, making it the perfect on-the-go snack for those following a keto or low carb diet.""",https://www.planetorganic.com/products/pulsin-orange-chocolate-and-peanut-keto-bar-50g,
65,66,Better Than Noodles 385g,£3.29,"""These are free from carbs, sugar, fat, wheat and gluten. Konjac noodles are hign in fibre, Low GI hence suitable for diabetic diets. Noodles are also suitable for Vegans and Vegetarians.""",https://www.planetorganic.com/products/better-than-noodles-385g,
66,67,Planet Organic Hazelnuts 250g,£5.29,,https://www.planetorganic.com/products/planet-organic-hazelnuts-250g,
67,68,Biona Apple Cider Vinegar 750ml,£3.69,Pressed organic Apple juice naturally fermented and aged in wooden casks. Raw and unfiltered-this premium live vinegar is packed in green glass to protect from the light.,https://www.planetorganic.com/products/biona-apple-cider-vinegar-750ml,
68,69,Fullgreen Riced Cauliflower Original 200g,£2.89,"""Cauli Rice™ Original is a Low Calorie, Low GI Rice replacement with 75% less calories than rice, pasta or potatoes. Low GI so ideal for Diabetics. Unlike other low-carb products, you get the Satisfaction of a Full Meal. Ready in just 2.5 minutes.As 1 of you 5 a day. Ambient. """,https://www.planetorganic.com/products/caulirice-original-200g,
69,70,Planet Organic Pine Nuts 125g,£6.99,,https://www.planetorganic.com/products/planet-organic-pine-nuts-125g,
70,71,"Rhythm 108 Lemon, Ginger & Chia Biscuit Share Bag 135g",£3.79,"""Gluten free, vegan Ooh-la-la Tea Biscuit range let's you enjoy more often withouth the guilt! Hand crafted with carefully selected organic ingredients by our team of trained patissiers, Lemon Ginger Chia Tea Biscuit is made with real sicilian lemon zest, """,https://www.planetorganic.com/products/rhythm108-ooh-la-la-tea-biscuits-sharebag-lemon-ginger-chia-135g,
71,72,Rude Health Coconut Drink 1L,£3.29,"Oh, coconuts! Love it or hate it, coconut drinks are one that has been around for quite some time and only grows in popularity. A flavour that speaks for itself, Rude Health’s 1L coconut drink is an ideal dairy milk alternative that is sure to add a natural sweetness to any drink - without any sugar or sweeteners necessary. Rude health uses organic coconuts to source all the good white stuff straight from the coconut. It is then whipped till it's nice and thick, blended with rice, mountain water and a pinch of salt to create a dairy-free milk alternative that is naturally sweet and very creamy. Not to mention, coconut milk has a huge nutritional boost thanks to its healthy oil that is sure to be a crowd pleasure for any health-conscious folks.",https://www.planetorganic.com/products/rude-health-coconut-drink-1l,
72,73,2die4 Activated Walnuts 100g,£9.99,"""2die4 Live Food's ACTIVATED Walnuts have been long-soaked in water, and whole, raw Celtic sea salt. Presto! Fermentation has begun. The nuts are then long-dried (dehydrated, not cooked) at very low temperatures. This arrests, and does not kill the nutrient-enlivening transformation that takes place with fermentation, which simply re-ignites once the nuts are popped into the mouth. Activated nuts and seeds become noticeably lighter, tastier, more nourishing, free of bitterness and markedly more-ish. They have been deemed, in fact, by some very alive customers of ours, as 2die4!!""",https://www.planetorganic.com/products/2die4-activated-walnuts-100g,
73,74,Planet Organic Short Grain Brown Rice 1kg,£4.69,,https://www.planetorganic.com/products/planet-organic-short-grain-brown-rice-1kg,
74,75,Clearspring Matcha Green Tea Powder - Premium Grade 40g,£11.99,"""Matcha is a finely milled vibrant green tea powder made from the highest quality Japanese tea leaves. Clearspring Organic Premium Matcha comes from Uji, a region high in the hills around Kyoto, renowned for producing the best Japanese teas. Only accessibly by foot, this remote area is unpolluted and rich in friendly bugs such as spiders, ladybirds, praying mantis and dragonflies to keep the pests under control (best to use organic matcha as non-organic matcha is grown using excessive amounts of agricultural fertilisers and pesticides). Premium grade Matcha is ideal for both drinking and home baking, can add unique flavour and incredible colour to food and drink recipes.""",https://www.planetorganic.com/products/clearspring-matcha-green-tea-powder-premium-grade-40g,
75,76,Biona Coconut Milk Mini 200ml,£1.59,"""Coconut milk is an easy-to-use, sweet and creamy ingredient that forms the base of many Asian dishes. Its full coconut flavour can also be enjoyed in soups, smoothies and desserts. Made from pressed coconut kernel of organic coconuts, for a truly exotic taste.""",https://www.planetorganic.com/products/biona-coconut-milk-mini-200ml,
76,77,Planet Organic Psyllium Husk 200g,£5.99,Organic psyllium husk in plastic free packaging,https://www.planetorganic.com/products/planet-organic-psyllium-husk-200g,
77,78,Explore Cuisine Black Bean Spaghetti 200g,£3.39,"""Our delicious gluten-free spaghetti is made from 92% Black Beans and 8% water to create the perfect blend for al dente Black Bean Spaghetti every time. Try it with your favourite curry sauce or pesto tonight. (Gluten Free). 25 grams of protein, 12 grams of fibre in every serving!""",https://www.planetorganic.com/products/explore-cuisine-black-bean-spaghetti-200g,
78,79,Biona Chopped Tomatoes 400g,£1.69,"""Our Biona Organic Chopped Tomatoes bring the true taste of Italy right into your kitchen. Our tomatoes are grown on organic sustainable farms, hand-picked and left to mature and ripen under the Italian sun. They are then peeled, chopped and marinated in a rich tomato sauce before being canned – simple, fresh, nutritious and full of flavour. Tomatoes at their finest- our Chopped Tomatoes have no added salt or sugar and are citric acid free too! Enjoy as part of your five a day.""",https://www.planetorganic.com/products/biona-chopped-tomatoes-400g,
79,80,Biona Coconut Cream 400ml,£2.69,"""This deliciously rich Coconut Cream is a more concentrated, thicker version of our coconut milk, made by pressing fresh organic coconut meat. This tropical ingredient is the perfect dairy free alternative to cream and can be used in both sweet and savoury Oriental, Indian and Caribbean dishes. Coconut fat content 22%.""",https://www.planetorganic.com/products/biona-coconut-cream-400ml,
80,81,Biona Butter Beans 400g,£1.69,"""*no BPA used in can* Butter beans are large, creamy-coloured beans that have a soft, floury texture when cooked.This storecupboard staple can be enjoyed either whole in salads and casseroles, mashed to make make a great vegetarian pâté, or blitzed in soups and wintry stews. A good source of potassium. No added sugar or salt.""",https://www.planetorganic.com/products/biona-butter-beans-400g,
81,82,Doves Farm Brown Rice Fusilli 500g,£4.29,Gluten free pasta spirals made from wholegrain brown rice.,https://www.planetorganic.com/products/doves-farm-brown-rice-fusilli-500g,
82,83,Planet Organic Walnut Halves 500g,£7.99,,https://www.planetorganic.com/products/planet-organic-walnut-halves-500g,
83,84,Biona Whole Spelt Spaghetti 500g,£2.89,"Spelt is an ancient grain cultivated thousands of years ago and only recently rediscovered. Biona Organic Wholegrain Spelt Spaghetti retains all the goodness of this ancient grain. It's smooth texture, fantastic flavour, and high fibre content is a great alternative to wheat pasta. Best yet, although not gluten free, spelt can be tolerated by some people with wheat allergies. Now in 100% plastic-free paper bags that can be easily recycled.",https://www.planetorganic.com/products/biona-whole-spelt-spaghetti-500g,
